id,applicant_id,challenge_one_score,challenge_two_score,challenge_three_score,submitted_at
355,23158,1,3,3,2019-01-20T00:27:06
356,21705,3,3,3,2019-01-20T08:23:27
357,23158,3,3,3,2019-01-20T10:16:04
358,21699,3,3,3,2019-01-21T09:17:38
359,21426,3,0,0,2019-01-21T14:44:42
360,20683,3,3,3,2019-01-21T21:47:01
361,21658,3,3,3,2019-01-22T09:52:32
362,20773,3,3,3,2019-01-22T15:13:45
363,23194,3,3,3,2019-01-22T16:33:27
364,20772,3,3,3,2019-01-23T11:42:33
365,20684,3,3,3,2019-01-23T12:15:15
366,23135,0,0,0,2019-01-24T06:21:26
367,23116,3,3,3,2019-01-24T15:22:04
368,23193,3,3,3,2019-01-24T22:00:19
369,20193,3,3,3,2019-01-25T11:30:41
370,23193,3,3,3,2019-01-25T16:09:11
371,20774,3,3,0,2019-01-26T07:21:30
372,20774,3,3,3,2019-01-26T08:04:41
373,20950,3,3,3,2019-01-26T11:44:14
374,21707,3,3,3,2019-01-26T14:20:48
375,23115,0,0,0,2019-01-26T19:42:55
376,21709,3,3,3,2019-01-26T20:39:44
377,23199,0,0,0,2019-01-27T15:32:40
378,20777,3,3,3,2019-01-27T19:03:52
379,21710,3,3,3,2019-01-27T22:27:59
380,20686,3,3,3,2019-01-27T23:50:45
381,20687,3,3,3,2019-01-28T16:30:42
382,20583,3,3,3,2019-01-28T16:47:35
383,23195,0,3,1,2019-01-29T11:30:43
384,23195,3,3,3,2019-01-29T11:39:00
385,20953,3,3,3,2019-01-29T14:32:08
386,23200,1,1,1,2019-01-29T20:48:27
387,23196,3,3,3,2019-01-29T23:04:23
388,20756,3,3,3,2019-01-30T00:34:27
389,23200,1,1,1,2019-01-30T16:39:53
390,21712,3,3,1,2019-01-30T17:19:16
391,21712,3,3,3,2019-01-30T18:19:42
392,20676,3,3,3,2019-01-30T20:55:10
393,21706,3,3,3,2019-01-30T21:17:19
394,23202,3,0,0,2019-01-31T11:30:32
395,20677,3,3,3,2019-01-31T12:19:11
396,23207,3,3,3,2019-01-31T15:59:44
397,23213,3,3,3,2019-01-31T18:10:23
398,21713,3,3,3,2019-02-01T00:22:41
399,23068,3,3,3,2019-02-01T19:13:20
400,23159,3,3,3,2019-02-01T20:16:38
401,23204,3,3,3,2019-02-01T22:02:04
402,23020,3,3,3,2019-02-02T12:55:12
403,23198,3,3,3,2019-02-02T21:46:55
404,21711,3,3,1,2019-02-02T23:20:43
405,21711,3,3,3,2019-02-02T23:37:08
406,23211,3,3,3,2019-02-03T14:05:50
407,23214,3,3,3,2019-02-03T16:25:22
408,23210,0,1,0,2019-02-03T18:55:01
409,23216,3,3,3,2019-02-04T11:58:12
410,23125,3,1,1,2019-02-04T15:08:36
411,23212,0,0,0,2019-02-05T03:22:46
412,21624,3,1,3,2019-02-05T08:03:58
413,21624,3,3,3,2019-02-05T08:32:01
414,20011,3,3,0,2019-02-05T11:18:20
415,20011,3,3,3,2019-02-05T12:50:06
416,20689,3,3,3,2019-02-05T14:07:25
417,20691,0,3,3,2019-02-06T22:30:33
418,20691,3,3,3,2019-02-06T22:51:15
419,23219,1,1,1,2019-02-07T03:00:37
420,23220,3,3,3,2019-02-07T15:44:07
421,21206,3,3,3,2019-02-07T20:52:20
422,23125,3,3,3,2019-02-08T10:33:14
423,21715,3,3,3,2019-02-08T11:48:25
424,20664,3,3,3,2019-02-09T12:36:07
425,21619,3,3,3,2019-02-09T19:42:44
426,20692,3,3,1,2019-02-09T23:05:33
427,20692,3,3,3,2019-02-09T23:21:20
428,23185,3,3,1,2019-02-09T23:50:59
429,23224,3,3,3,2019-02-11T05:55:47
430,23148,3,3,3,2019-02-11T13:19:47
431,20784,3,3,3,2019-02-11T13:57:43
432,21708,3,3,3,2019-02-11T13:58:51
433,23229,3,3,3,2019-02-11T14:21:15
434,23228,3,3,3,2019-02-11T16:26:21
435,23043,3,3,3,2019-02-11T19:28:11
436,20785,3,3,3,2019-02-11T19:41:14
437,23227,0,0,0,2019-02-11T20:45:46
438,20690,1,1,0,2019-02-11T23:53:44
439,23231,3,0,0,2019-02-12T01:38:20
440,23230,3,3,3,2019-02-12T03:10:03
441,23035,3,3,3,2019-02-12T04:27:47
442,23197,1,3,3,2019-02-12T09:06:40
443,20780,3,3,3,2019-02-12T10:58:25
444,20771,3,3,3,2019-02-12T18:07:00
445,20642,3,3,3,2019-02-12T20:24:14
446,20641,3,3,3,2019-02-12T22:25:36
447,23201,3,3,3,2019-02-12T23:47:40
448,20770,3,3,3,2019-02-13T02:52:26
449,20065,3,3,3,2019-02-13T13:24:49
450,20690,3,3,3,2019-02-13T19:06:17
451,23236,3,3,3,2019-02-13T19:33:23
452,23235,3,3,3,2019-02-13T23:25:15
453,23237,3,1,1,2019-02-14T00:55:30
454,21721,3,3,3,2019-02-14T11:04:22
455,23223,3,1,1,2019-02-14T11:22:37
456,23237,3,3,3,2019-02-14T11:45:26
457,21722,3,3,3,2019-02-14T14:18:56
458,21719,3,3,3,2019-02-14T16:46:12
459,23240,0,0,0,2019-02-14T17:49:03
460,20694,3,3,3,2019-02-15T00:22:39
461,21252,3,3,3,2019-02-15T03:24:41
462,23242,3,3,3,2019-02-15T04:42:38
463,21717,3,3,3,2019-02-15T09:21:53
464,20680,3,3,3,2019-02-15T09:54:41
465,20695,3,3,3,2019-02-15T11:54:48
466,22947,3,1,3,2019-02-15T13:44:32
467,22947,3,3,3,2019-02-15T13:56:22
468,20688,3,3,3,2019-02-15T18:05:01
469,20959,3,3,3,2019-02-15T23:05:21
470,21589,1,1,1,2019-02-16T11:26:42
471,23243,1,3,1,2019-02-16T12:42:16
472,20696,3,3,3,2019-02-16T15:57:01
473,21716,1,3,1,2019-02-16T16:19:57
474,21716,3,3,3,2019-02-16T17:12:51
475,23245,3,3,3,2019-02-16T20:22:07
476,21718,3,3,3,2019-02-16T21:45:19
477,23017,3,3,3,2019-02-17T01:16:28
478,21953,3,3,3,2019-02-17T02:02:24
479,23244,3,3,3,2019-02-17T05:28:40
480,21663,3,3,3,2019-02-17T05:54:01
481,20788,3,3,3,2019-02-17T13:40:09
482,21725,3,3,3,2019-02-17T21:21:49
483,20779,3,3,1,2019-02-18T04:19:58
484,20779,3,3,3,2019-02-18T04:29:23
485,23222,1,0,0,2019-02-18T10:21:53
486,21154,3,3,3,2019-02-18T12:37:59
487,23194,3,3,3,2019-02-18T14:10:25
488,21413,3,3,3,2019-02-18T14:49:16
489,23247,1,1,1,2019-02-18T16:25:13
490,21726,3,3,1,2019-02-18T17:49:13
491,21726,3,3,3,2019-02-18T18:20:48
492,20741,3,3,3,2019-02-18T19:01:58
493,23217,3,3,3,2019-02-18T21:00:49
494,21672,3,3,3,2019-02-19T00:01:55
495,20787,3,3,3,2019-02-19T02:43:02
496,21459,3,3,3,2019-02-19T07:19:18
497,21670,0,1,1,2019-02-19T08:26:32
498,21461,3,3,3,2019-02-19T08:46:05
499,21665,3,3,3,2019-02-19T11:38:36
500,20266,3,3,1,2019-02-19T11:51:52
501,20685,3,3,3,2019-02-19T12:10:17
502,20266,3,3,3,2019-02-19T12:13:51
503,23248,3,1,3,2019-02-19T12:19:13
504,23248,3,3,3,2019-02-19T12:29:19
505,20682,3,3,3,2019-02-19T12:58:56
506,23249,3,3,1,2019-02-19T15:56:42
507,20782,3,3,3,2019-02-19T17:00:40
508,22891,0,0,0,2019-02-19T17:44:15
509,23208,1,0,0,2019-02-19T18:19:26
510,20461,3,3,3,2019-02-19T20:30:22
511,20606,3,3,3,2019-02-19T23:26:44
512,23182,0,0,0,2019-02-20T00:29:41
513,21457,3,3,3,2019-02-20T02:11:24
514,21708,3,3,3,2019-02-20T05:38:27
515,21670,3,3,3,2019-02-20T06:12:31
516,21392,3,3,3,2019-02-20T13:44:54
517,21729,3,1,3,2019-02-20T14:24:26
518,21729,3,3,3,2019-02-20T15:03:26
519,23241,3,3,3,2019-02-20T15:32:25
520,23253,3,3,3,2019-02-20T16:23:29
521,21720,3,3,3,2019-02-20T17:32:28
522,22985,3,3,3,2019-02-20T17:33:10
523,20643,3,3,3,2019-02-20T20:51:00
524,23254,3,3,1,2019-02-20T20:56:48
525,23254,3,3,3,2019-02-20T21:30:15
526,21724,1,3,3,2019-02-20T22:28:54
527,23221,0,0,0,2019-02-20T22:51:47
528,21724,1,3,3,2019-02-21T00:08:40
529,23232,0,1,1,2019-02-21T01:25:32
530,21724,3,3,3,2019-02-21T09:44:32
531,21258,1,1,3,2019-02-21T09:51:22
532,23258,3,3,3,2019-02-21T11:34:36
533,21730,3,3,3,2019-02-21T13:38:35
534,20451,1,0,0,2019-02-21T16:15:37
535,23215,3,3,0,2019-02-21T16:52:11
536,20928,3,3,3,2019-02-21T19:28:14
537,21731,3,3,3,2019-02-21T20:37:05
538,21723,3,3,3,2019-02-21T22:06:57
539,21462,3,3,1,2019-02-22T00:11:25
540,20673,3,3,3,2019-02-22T00:32:31
541,21462,3,3,3,2019-02-22T00:45:59
542,23262,3,3,3,2019-02-22T06:15:52
543,23226,3,3,3,2019-02-22T09:06:45
544,20638,3,3,3,2019-02-22T12:43:51
545,23263,3,3,3,2019-02-22T13:38:15
546,23265,3,3,3,2019-02-22T15:43:26
547,21511,3,3,3,2019-02-22T16:48:47
548,23231,3,3,3,2019-02-22T17:25:54
549,21603,1,1,1,2019-02-22T20:32:02
550,23266,1,1,0,2019-02-22T21:04:27
551,23022,3,1,3,2019-02-22T23:28:37
552,23022,3,3,3,2019-02-22T23:30:59
553,23267,3,3,3,2019-02-23T08:05:11
554,21460,3,3,3,2019-02-23T13:13:59
555,21460,3,3,3,2019-02-23T13:18:43
556,21727,3,3,3,2019-02-23T13:39:02
557,23260,3,3,3,2019-02-23T15:34:44
558,23269,3,3,3,2019-02-23T22:57:34
559,20658,3,3,3,2019-02-24T10:29:15
560,23264,3,3,3,2019-02-24T10:39:26
561,23261,3,3,0,2019-02-24T14:57:10
562,23272,3,3,3,2019-02-24T16:40:38
563,23273,0,0,0,2019-02-25T06:03:52
564,20453,3,1,3,2019-02-25T06:50:02
565,20453,3,1,3,2019-02-25T07:24:11
566,23246,3,3,3,2019-02-25T07:24:14
567,20453,3,1,3,2019-02-25T07:28:45
568,20453,3,1,3,2019-02-25T07:33:41
569,20453,3,1,3,2019-02-25T07:39:39
570,20453,3,1,3,2019-02-25T07:46:54
571,20453,3,1,3,2019-02-25T07:50:58
572,20453,3,1,3,2019-02-25T08:27:48
573,20453,3,3,3,2019-02-25T09:29:47
574,23215,3,3,3,2019-02-25T16:17:41
575,23275,0,0,0,2019-02-25T17:20:12
576,23259,3,3,3,2019-02-25T18:29:32
577,23274,0,0,0,2019-02-25T22:43:25
578,20451,3,3,3,2019-02-25T22:47:41
579,21733,3,3,3,2019-02-26T05:42:03
580,21693,1,1,1,2019-02-26T06:02:10
581,23270,1,3,0,2019-02-26T09:55:58
