id,last_step,country,gender,age,created_at
297337,completed_profile,Togo,man,36-40,2022-01-01T00:58:22.365
297338,completed_profile,Ghana,man,21-25,2022-01-01T01:00:54.858
297339,completed_profile,Tunisia,man,21-25,2022-01-01T01:03:48.166
297340,completed_profile,Ukraine,man,46-50,2022-01-01T01:04:34.996
297341,completed_profile,Ghana,man,21-25,2022-01-01T01:06:57.157
297342,completed_profile,Ghana,man,18-20,2022-01-01T01:09:08.972
297343,completed_profile,Ecuador,man,21-25,2022-01-01T01:09:48.638
297344,completed_challenges,Ghana,man,18-20,2022-01-01T01:13:37.939
297345,completed_profile,Colombia,man,41-45,2022-01-01T01:14:36.077
297346,completed_profile,Pakistan,man,26-30,2022-01-01T01:14:50.305
297347,submitted_programming_experience,Ecuador,man,31-35,2022-01-01T01:17:41.815
297348,completed_profile,India,man,31-35,2022-01-01T01:17:50.498
297349,submitted_program_schedule,United Kingdom,man,36-40,2022-01-01T01:18:11.011
297350,completed_profile,South Africa,man,26-30,2022-01-01T01:19:20.896
297351,completed_challenges,Germany,woman,21-25,2022-01-01T01:22:27.447
297352,completed_profile,Nigeria,woman,31-35,2022-01-01T01:25:10.867
297353,unlocked_challenges,Ghana,man,21-25,2022-01-01T01:27:50.075
297354,signed_up,,,,2022-01-01T01:30:29.854
297355,completed_profile,Ghana,woman,21-25,2022-01-01T01:31:27.717
297356,completed_profile,Liberia,man,18-20,2022-01-01T01:34:42.718
297357,completed_challenges,Pakistan,man,21-25,2022-01-01T01:38:54.305
297358,completed_profile,South Sudan,man,36-40,2022-01-01T01:40:31.006
297359,no_time_commitment,Brazil,not_answer,over_50,2022-01-01T01:43:20.26
297360,completed_profile,Albania,man,21-25,2022-01-01T01:43:30.412
297361,completed_challenges,India,man,31-35,2022-01-01T01:47:08.439
297362,completed_profile,Algeria,man,18-20,2022-01-01T01:48:27.345
297363,unlocked_challenges,Ecuador,man,18-20,2022-01-01T01:53:50.633
297364,completed_profile,Ghana,man,21-25,2022-01-01T01:57:26.895
297365,completed_profile,Cote d Ivoire,man,31-35,2022-01-01T01:58:06.024
297366,completed_challenges,Kosovo,man,18-20,2022-01-01T02:08:59.277
297367,signed_up,,,,2022-01-01T02:10:22.272
297368,submitted_program_schedule,Nicaragua,man,26-30,2022-01-01T02:11:58.943
297369,submitted_equipment,Pakistan,man,18-20,2022-01-01T02:13:16.499
297370,completed_profile,Pakistan,man,26-30,2022-01-01T02:14:45.301
297371,completed_profile,Ghana,man,36-40,2022-01-01T02:17:00.897
297372,completed_profile,Ghana,man,18-20,2022-01-01T02:17:36.081
297373,completed_profile,Jamaica,man,over_50,2022-01-01T02:17:50.888
297374,completed_profile,Ghana,man,31-35,2022-01-01T02:17:57.524
297375,completed_profile,Central African Republic,man,26-30,2022-01-01T02:19:21.305
297376,submitted_equipment,Colombia,man,41-45,2022-01-01T02:22:02.621
297377,submitted_equipment,Nicaragua,man,46-50,2022-01-01T02:22:05.225
297378,completed_profile,Bolivia,man,26-30,2022-01-01T02:24:23.832
297379,completed_profile,Jamaica,man,over_50,2022-01-01T02:27:21.416
297380,completed_profile,India,man,31-35,2022-01-01T02:31:37.157
297381,signed_up,,,,2022-01-01T02:31:39.663
297382,completed_profile,Pakistan,man,21-25,2022-01-01T02:33:52.124
297383,unlocked_challenges,Algeria,man,21-25,2022-01-01T02:39:35.47
297384,low_english_level,Guatemala,man,46-50,2022-01-01T02:43:05.246
297385,completed_profile,Ghana,not_answer,26-30,2022-01-01T02:43:31.859
297386,completed_profile,Guinea,man,26-30,2022-01-01T02:43:46.332
297387,completed_profile,India,man,26-30,2022-01-01T02:45:08.203
297388,completed_profile,India,man,31-35,2022-01-01T02:46:23.984
297389,completed_profile,Ghana,man,26-30,2022-01-01T02:47:36.384
297390,completed_profile,United Kingdom,man,46-50,2022-01-01T02:49:05.502
297391,completed_profile,Peru,man,21-25,2022-01-01T02:51:51.04
297392,submitted_equipment,Somalia,woman,36-40,2022-01-01T02:51:58.511
297393,completed_profile,Bolivia,man,31-35,2022-01-01T02:54:58.688
297394,signed_up,,,,2022-01-01T03:01:20.476
297395,completed_challenges,Somalia,man,26-30,2022-01-01T03:03:00.227
297396,completed_profile,Peru,non_binary,26-30,2022-01-01T03:10:03.977
297397,completed_profile,India,man,26-30,2022-01-01T03:11:05.515
297398,completed_profile,Guinea,man,21-25,2022-01-01T03:11:07.487
297399,signed_up,,,,2022-01-01T03:11:18.075
297400,signed_up,,,,2022-01-01T03:14:01.964
297401,completed_profile,Ghana,man,18-20,2022-01-01T03:16:10.459
297402,completed_profile,India,man,18-20,2022-01-01T03:18:37.991
297403,completed_profile,Venezuela,man,26-30,2022-01-01T03:23:07.892
297404,submitted_equipment,Benin,man,26-30,2022-01-01T03:25:29.022
297405,completed_profile,Pakistan,man,21-25,2022-01-01T03:26:08.677
297406,completed_profile,Nigeria,man,36-40,2022-01-01T03:28:40.532
297407,completed_profile,Pakistan,man,21-25,2022-01-01T03:29:23.422
297408,completed_profile,Georgia,man,over_50,2022-01-01T03:31:09.58
297409,completed_profile,Pakistan,man,21-25,2022-01-01T03:31:20.523
297410,completed_profile,Brazil,man,31-35,2022-01-01T03:33:14.679
297411,completed_profile,Azerbaijan,man,21-25,2022-01-01T03:34:53.707
297412,completed_profile,Colombia,man,26-30,2022-01-01T03:40:24.018
297413,completed_profile,India,man,21-25,2022-01-01T03:42:26.834
297414,unlocked_challenges,Peru,man,41-45,2022-01-01T03:51:20.652
297415,completed_profile,India,man,26-30,2022-01-01T03:55:32.677
297416,completed_profile,Somalia,man,31-35,2022-01-01T04:01:02.529
297417,completed_profile,Colombia,man,36-40,2022-01-01T04:02:21.07
297418,is_under_18,India,woman,under-18,2022-01-01T04:07:10.562
297419,completed_profile,Argentina,man,36-40,2022-01-01T04:07:27.489
297420,submitted_equipment,Pakistan,man,over_50,2022-01-01T04:10:37.254
297421,completed_profile,Somalia,man,26-30,2022-01-01T04:12:27.278
297422,completed_profile,Algeria,man,18-20,2022-01-01T04:13:20.534
297423,no_financial_support,Pakistan,man,21-25,2022-01-01T04:13:54.316
297424,completed_profile,Pakistan,man,41-45,2022-01-01T04:14:51.001
297425,completed_profile,Somalia,man,18-20,2022-01-01T04:17:58.912
297426,unlocked_challenges,India,man,21-25,2022-01-01T04:20:45.304
297427,completed_profile,Honduras,man,26-30,2022-01-01T04:25:31.945
297428,completed_profile,India,man,26-30,2022-01-01T04:30:24.593
297429,completed_challenges,Pakistan,man,36-40,2022-01-01T04:31:35.903
297430,submitted_program_schedule,India,woman,21-25,2022-01-01T04:35:15.357
297431,completed_profile,Pakistan,man,36-40,2022-01-01T04:37:29.288
297432,submitted_english_level,Pakistan,man,18-20,2022-01-01T04:48:03.863
297433,completed_profile,Iraq,man,26-30,2022-01-01T04:51:07.796
297434,unlocked_challenges,India,man,21-25,2022-01-01T04:51:10.396
297435,completed_profile,South Africa,man,26-30,2022-01-01T04:53:40.397
297436,unlocked_challenges,Madagascar,man,31-35,2022-01-01T04:58:27.164
297437,submitted_programming_experience,Uruguay,woman,46-50,2022-01-01T05:00:37.928
297438,completed_profile,Somalia,man,31-35,2022-01-01T05:00:50.498
297439,unlocked_challenges,India,woman,21-25,2022-01-01T05:11:02.625
297440,completed_profile,Somalia,man,18-20,2022-01-01T05:13:17.07
297441,completed_profile,India,man,18-20,2022-01-01T05:16:09.365
297442,submitted_program_schedule,Pakistan,man,26-30,2022-01-01T05:18:09.916
297443,signed_up,,,,2022-01-01T05:18:42.584
297444,submitted_program_schedule,India,man,26-30,2022-01-01T05:19:29.723
297445,completed_profile,Pakistan,woman,21-25,2022-01-01T05:19:37.839
297446,no_financial_support,Tunisia,man,26-30,2022-01-01T05:24:59.259
297447,completed_challenges,Argentina,man,18-20,2022-01-01T05:28:50.019
297448,completed_profile,Pakistan,man,21-25,2022-01-01T05:30:39.937
297449,no_financial_support,Democratic Republic of the Congo,man,46-50,2022-01-01T05:33:00.316
297450,completed_profile,Germany,man,31-35,2022-01-01T05:34:02.98
297451,completed_profile,India,man,41-45,2022-01-01T05:36:25.545
297452,completed_profile,Venezuela,man,over_50,2022-01-01T05:38:45.145
297453,signed_up,,,,2022-01-01T05:39:33.709
297454,no_time_commitment,Pakistan,man,41-45,2022-01-01T05:40:50.727
297455,completed_challenges,India,man,21-25,2022-01-01T05:41:40.278
297456,submitted_equipment,India,man,26-30,2022-01-01T05:42:35.455
297457,submitted_program_schedule,Argentina,man,46-50,2022-01-01T05:45:58.417
297458,no_financial_support,Venezuela,man,over_50,2022-01-01T05:48:08.435
297459,completed_profile,Pakistan,woman,21-25,2022-01-01T05:52:02.773
297460,unlocked_challenges,Republic of the Congo,man,18-20,2022-01-01T05:52:52.776
297461,submitted_program_schedule,Ecuador,man,18-20,2022-01-01T05:53:03.216
297462,challenges_results_passed,Venezuela,man,36-40,2022-01-01T05:56:21.507
297463,completed_challenges,Pakistan,man,18-20,2022-01-01T06:04:08.846
297464,completed_profile,Uganda,man,26-30,2022-01-01T06:06:15.884
297465,completed_profile,Democratic Republic of the Congo,man,21-25,2022-01-01T06:06:25.648
297466,completed_profile,Malawi,man,26-30,2022-01-01T06:08:53.959
297467,challenges_results_passed,India,man,21-25,2022-01-01T06:09:14.072
297468,completed_profile,Peru,woman,26-30,2022-01-01T06:10:05.946
297469,completed_profile,Pakistan,man,26-30,2022-01-01T06:12:05.303
297470,completed_profile,Guatemala,other,26-30,2022-01-01T06:14:21.054
297471,completed_profile,India,man,21-25,2022-01-01T06:17:48.332
297472,completed_profile,Somalia,woman,21-25,2022-01-01T06:20:35.371
297473,completed_profile,Venezuela,man,31-35,2022-01-01T06:22:38.881
297474,unlocked_challenges,Pakistan,man,18-20,2022-01-01T06:24:20.902
297475,completed_profile,India,man,18-20,2022-01-01T06:26:36.097
297476,completed_profile,Mexico,man,18-20,2022-01-01T06:27:42.19
297477,completed_profile,Ghana,man,41-45,2022-01-01T06:28:09.178
297478,completed_profile,Colombia,man,18-20,2022-01-01T06:29:50.987
297479,completed_profile,India,man,21-25,2022-01-01T06:30:51.012
297480,completed_profile,Ghana,man,41-45,2022-01-01T06:32:45.768
297481,completed_profile,India,man,26-30,2022-01-01T06:34:03.709
297482,completed_profile,Zambia,man,36-40,2022-01-01T06:34:26.479
297483,signed_up,,,,2022-01-01T06:36:47.963
297484,no_financial_support,Somalia,man,26-30,2022-01-01T06:36:56.272
297485,completed_profile,Algeria,man,21-25,2022-01-01T06:37:47.98
297486,submitted_program_schedule,India,man,31-35,2022-01-01T06:38:48.619
297487,completed_challenges,Libya,man,36-40,2022-01-01T06:39:18.819
297488,completed_profile,Ghana,man,18-20,2022-01-01T06:41:48.385
297489,high_programming_experience,India,man,31-35,2022-01-01T06:44:03.247
297490,completed_profile,India,man,21-25,2022-01-01T06:45:02.793
297491,completed_profile,Democratic Republic of the Congo,man,21-25,2022-01-01T06:46:45.895
297492,completed_profile,Pakistan,man,18-20,2022-01-01T06:49:26.932
297493,completed_profile,Angola,man,26-30,2022-01-01T06:49:56.077
297494,completed_profile,Romania,woman,18-20,2022-01-01T06:52:24.609
297495,completed_profile,South Africa,man,18-20,2022-01-01T06:57:46.951
297496,completed_profile,South Africa,man,26-30,2022-01-01T06:58:29.824
297497,completed_profile,Tunisia,man,21-25,2022-01-01T06:58:34.766
297498,completed_profile,Zambia,man,21-25,2022-01-01T07:05:07.681
297499,completed_profile,Somalia,man,no-answer,2022-01-01T07:05:43.973
297500,completed_profile,Tanzania,man,21-25,2022-01-01T07:06:08.554
297501,challenges_results_passed,Kenya,man,26-30,2022-01-01T07:09:47.826
297502,submitted_financial_support,India,man,36-40,2022-01-01T07:10:35.101
297503,completed_profile,Brazil,man,31-35,2022-01-01T07:19:09.464
297504,no_time_commitment,Greece,woman,over_50,2022-01-01T07:21:02.765
297505,completed_profile,South Africa,man,21-25,2022-01-01T07:21:43.141
297506,completed_challenges,Pakistan,man,21-25,2022-01-01T07:22:04.551
297507,unlocked_challenges,Tanzania,man,18-20,2022-01-01T07:22:33.031
297508,submitted_equipment,India,man,26-30,2022-01-01T07:22:54.777
297509,completed_profile,Liberia,man,36-40,2022-01-01T07:27:15.542
297510,completed_profile,Ghana,man,over_50,2022-01-01T07:27:59.295
297511,completed_profile,South Africa,woman,21-25,2022-01-01T07:28:28.529
297512,completed_profile,Pakistan,man,21-25,2022-01-01T07:33:39.714
297513,submitted_professional_info,India,man,31-35,2022-01-01T07:35:12.421
297514,submitted_program_schedule,Ghana,man,36-40,2022-01-01T07:35:18.784
297515,completed_profile,Pakistan,man,36-40,2022-01-01T07:36:59.662
297516,completed_challenges,Liberia,man,26-30,2022-01-01T07:37:23.066
297517,completed_profile,Pakistan,man,31-35,2022-01-01T07:37:46.36
297518,submitted_equipment,India,man,21-25,2022-01-01T07:40:19.239
297519,completed_challenges,Pakistan,woman,36-40,2022-01-01T07:40:20.925
297520,signed_up,,,,2022-01-01T07:45:05.944
297521,submitted_financial_support,India,man,26-30,2022-01-01T07:46:39.31
297522,completed_profile,India,man,26-30,2022-01-01T07:55:25.793
297523,completed_profile,India,man,26-30,2022-01-01T07:56:35.34
297524,unlocked_challenges,Afghanistan,woman,21-25,2022-01-01T07:58:22.876
297525,low_english_level,Pakistan,man,31-35,2022-01-01T07:59:48.722
297526,completed_profile,Somalia,man,41-45,2022-01-01T08:10:06.659
297527,completed_challenges,Iran,not_answer,21-25,2022-01-01T08:12:05.877
297528,completed_profile,Togo,man,26-30,2022-01-01T08:16:05.197
297529,completed_profile,Somalia,man,21-25,2022-01-01T08:17:45.132
297530,completed_profile,Democratic Republic of the Congo,man,26-30,2022-01-01T08:19:43.248
297531,challenges_results_practice,Mexico,man,over_50,2022-01-01T08:20:18.057
297532,completed_profile,Tunisia,man,36-40,2022-01-01T08:21:57.088
297533,completed_profile,Venezuela,man,36-40,2022-01-01T08:24:58.377
297534,unlocked_challenges,Poland,man,31-35,2022-01-01T08:26:45.479
297535,unlocked_challenges,Burundi,man,21-25,2022-01-01T08:27:20.567
297536,completed_profile,South Africa,man,31-35,2022-01-01T08:27:22.528
297537,signed_up,,,,2022-01-01T08:27:48.549
297538,completed_profile,Ghana,man,41-45,2022-01-01T08:33:05.924
297539,completed_profile,Benin,man,26-30,2022-01-01T08:36:10.647
297540,submitted_program_schedule,Ghana,man,36-40,2022-01-01T08:38:19.894
297541,completed_profile,Ghana,man,21-25,2022-01-01T08:38:51.813
297542,no_financial_support,India,woman,21-25,2022-01-01T08:39:06.752
297543,low_english_level,Italy,man,36-40,2022-01-01T08:39:09.29
297544,no_time_commitment,India,man,18-20,2022-01-01T08:40:49.379
297545,completed_profile,South Africa,woman,36-40,2022-01-01T08:43:33.622
297546,signed_up,,,,2022-01-01T08:44:33.533
297547,completed_profile,Mozambique,man,31-35,2022-01-01T08:45:20.058
297548,completed_profile,Serbia,man,36-40,2022-01-01T08:45:27.127
297549,completed_profile,Somalia,man,21-25,2022-01-01T08:46:06.366
297550,submitted_programming_experience,India,man,26-30,2022-01-01T08:48:42.324
297551,unlocked_challenges,Albania,man,31-35,2022-01-01T08:49:10.503
297552,completed_profile,Ghana,man,36-40,2022-01-01T08:49:28.954
297553,completed_challenges,United States,man,41-45,2022-01-01T08:49:31.016
297554,challenges_results_passed,Uganda,man,26-30,2022-01-01T08:50:21.189
297555,submitted_equipment,Pakistan,man,31-35,2022-01-01T08:51:34.09
297556,challenges_results_practice,India,man,31-35,2022-01-01T08:51:47.274
297557,completed_profile,Ghana,woman,26-30,2022-01-01T08:55:05.485
297558,completed_profile,Cote d Ivoire,man,41-45,2022-01-01T08:58:13.904
297559,completed_profile,Ghana,man,36-40,2022-01-01T09:00:21.132
297560,completed_profile,Sierra Leone,man,21-25,2022-01-01T09:02:23.269
297561,completed_profile,Mexico,man,21-25,2022-01-01T09:02:33.586
297562,submitted_program_schedule,Ghana,man,26-30,2022-01-01T09:03:32.524
297563,completed_challenges,India,man,36-40,2022-01-01T09:03:49.892
297564,completed_profile,Tanzania,man,21-25,2022-01-01T09:04:39.378
297565,is_under_18,Algeria,woman,under-18,2022-01-01T09:04:57.458
297566,no_time_commitment,South Africa,man,36-40,2022-01-01T09:09:06.232
297567,no_time_commitment,Guatemala,man,36-40,2022-01-01T09:13:52.163
297568,completed_profile,Romania,man,31-35,2022-01-01T09:14:40.703
297569,completed_profile,Somalia,man,18-20,2022-01-01T09:15:24.937
297570,completed_profile,India,man,21-25,2022-01-01T09:15:37.143
297571,completed_profile,Pakistan,woman,18-20,2022-01-01T09:16:22.603
297572,unlocked_challenges,Ecuador,man,26-30,2022-01-01T09:17:36.98
297573,submitted_english_level,Brazil,non_binary,over_50,2022-01-01T09:17:39.805
297574,unlocked_challenges,South Africa,man,21-25,2022-01-01T09:20:32.787
297575,low_programming_experience,Ghana,man,41-45,2022-01-01T09:22:34.978
297576,completed_profile,India,man,36-40,2022-01-01T09:22:41.183
297577,completed_profile,Mozambique,man,26-30,2022-01-01T09:26:12.466
297578,completed_profile,Pakistan,man,31-35,2022-01-01T09:26:32.209
297579,completed_challenges,Pakistan,man,21-25,2022-01-01T09:27:35.111
297580,completed_profile,Ghana,man,21-25,2022-01-01T09:27:46.745
297581,completed_profile,Italy,man,over_50,2022-01-01T09:29:00.28
297582,unlocked_challenges,Greece,man,41-45,2022-01-01T09:29:31.24
297583,completed_profile,Ghana,man,36-40,2022-01-01T09:29:33.361
297584,unlocked_challenges,Pakistan,man,26-30,2022-01-01T09:31:00.863
297585,completed_challenges,India,man,21-25,2022-01-01T09:31:33.723
297586,unlocked_challenges,South Africa,man,36-40,2022-01-01T09:33:49.12
297587,completed_profile,India,man,21-25,2022-01-01T09:34:10.971
297588,completed_profile,Czech Republic,woman,36-40,2022-01-01T09:34:13.387
297589,submitted_equipment,Germany,man,46-50,2022-01-01T09:34:20.719
297590,signed_up,,,,2022-01-01T09:36:18.75
297591,completed_profile,Romania,man,21-25,2022-01-01T09:36:59.595
297592,completed_profile,Pakistan,man,31-35,2022-01-01T09:37:06.123
297593,signed_up,,,,2022-01-01T09:37:11.046
297594,completed_profile,Nigeria,man,26-30,2022-01-01T09:39:02.406
297595,completed_profile,South Africa,man,26-30,2022-01-01T09:41:15.859
297596,completed_profile,Pakistan,man,21-25,2022-01-01T09:41:21.049
297597,no_financial_support,Uganda,man,26-30,2022-01-01T09:41:30.548
297598,completed_challenges,South Africa,man,18-20,2022-01-01T09:42:21.262
297599,completed_profile,Venezuela,man,41-45,2022-01-01T09:44:51.409
297600,completed_profile,Belarus,man,46-50,2022-01-01T09:45:12.803
297601,completed_challenges,Saudi Arabia,man,31-35,2022-01-01T09:45:35.839
297602,submitted_financial_support,Pakistan,man,21-25,2022-01-01T09:47:44.851
297603,completed_profile,Pakistan,man,36-40,2022-01-01T09:48:32.639
297604,submitted_equipment,South Africa,man,21-25,2022-01-01T09:50:37.225
297605,completed_challenges,Canada,man,18-20,2022-01-01T09:50:53.339
297606,completed_profile,India,man,21-25,2022-01-01T09:52:19.484
297607,completed_challenges,Tanzania,man,26-30,2022-01-01T09:53:00.121
297608,completed_profile,South Africa,man,21-25,2022-01-01T09:53:03.616
297609,unlocked_challenges,United Kingdom,man,18-20,2022-01-01T09:54:10.439
297610,completed_challenges,Pakistan,man,21-25,2022-01-01T09:54:50.76
297611,completed_profile,Sierra Leone,man,26-30,2022-01-01T09:55:05.191
297612,completed_profile,Sierra Leone,man,31-35,2022-01-01T09:55:07.66
297613,completed_profile,Oman,man,18-20,2022-01-01T09:55:10.182
297614,completed_profile,India,man,21-25,2022-01-01T10:00:04.325
297615,completed_challenges,Algeria,man,31-35,2022-01-01T10:02:15.694
297616,completed_profile,India,woman,41-45,2022-01-01T10:04:00.763
297617,completed_profile,Burundi,man,31-35,2022-01-01T10:04:02.956
297618,unlocked_challenges,Ghana,man,21-25,2022-01-01T10:05:51.954
297619,completed_profile,South Africa,woman,31-35,2022-01-01T10:06:06.872
297620,completed_profile,South Africa,man,36-40,2022-01-01T10:06:59.222
297621,submitted_programming_experience,India,man,21-25,2022-01-01T10:08:06.737
297622,completed_profile,Pakistan,man,21-25,2022-01-01T10:10:23.697
297623,completed_profile,Botswana,man,18-20,2022-01-01T10:10:34.208
297624,submitted_equipment,Pakistan,man,21-25,2022-01-01T10:11:40.924
297625,submitted_program_schedule,Italy,man,41-45,2022-01-01T10:12:17.54
297626,signed_up,,,,2022-01-01T10:12:45.93
297627,submitted_equipment,India,man,21-25,2022-01-01T10:12:59.843
297628,completed_profile,India,man,26-30,2022-01-01T10:13:09.64
297629,completed_profile,Algeria,man,18-20,2022-01-01T10:13:38.801
297630,completed_profile,Pakistan,man,18-20,2022-01-01T10:14:00.986
297631,completed_profile,Pakistan,man,21-25,2022-01-01T10:14:41.11
297632,completed_profile,India,man,31-35,2022-01-01T10:16:47.806
297633,submitted_english_level,Netherlands,man,26-30,2022-01-01T10:17:08.6
297634,submitted_personal_info,Zambia,man,18-20,2022-01-01T10:17:18.842
297635,challenges_results_passed,South Africa,man,31-35,2022-01-01T10:17:22.908
297636,completed_profile,Bosnia and Herzegovina,man,18-20,2022-01-01T10:17:47.774
297637,completed_profile,South Africa,woman,31-35,2022-01-01T10:18:23.877
297638,no_time_commitment,Zambia,man,46-50,2022-01-01T10:19:03.974
297639,unlocked_challenges,Romania,man,26-30,2022-01-01T10:20:39.92
297640,completed_challenges,Ghana,other,31-35,2022-01-01T10:21:18.481
297641,completed_profile,Ghana,man,36-40,2022-01-01T10:22:45.222
297642,completed_profile,Moldova,man,18-20,2022-01-01T10:22:54.442
297643,completed_challenges,Democratic Republic of the Congo,man,31-35,2022-01-01T10:24:33.472
297644,completed_profile,Serbia,man,36-40,2022-01-01T10:25:53.986
297645,completed_challenges,Pakistan,man,18-20,2022-01-01T10:26:46.735
297646,completed_profile,United Kingdom,woman,21-25,2022-01-01T10:26:58.592
297647,completed_profile,Ghana,man,21-25,2022-01-01T10:27:21.402
297648,completed_profile,India,woman,26-30,2022-01-01T10:27:50.201
297649,unlocked_challenges,Kosovo,man,21-25,2022-01-01T10:29:21.484
297650,unlocked_challenges,Pakistan,woman,21-25,2022-01-01T10:30:16.654
297651,completed_challenges,Cote d Ivoire,man,31-35,2022-01-01T10:38:36.403
297652,completed_profile,Democratic Republic of the Congo,man,21-25,2022-01-01T10:38:50.227
297653,completed_profile,Somalia,man,21-25,2022-01-01T10:40:10.418
297654,completed_profile,Algeria,man,18-20,2022-01-01T10:43:31.356
297655,completed_profile,South Africa,man,21-25,2022-01-01T10:44:59.826
297656,unlocked_challenges,Ghana,man,31-35,2022-01-01T10:45:42.248
297657,completed_profile,Ghana,man,21-25,2022-01-01T10:46:06.863
297658,submitted_equipment,Ukraine,man,41-45,2022-01-01T10:48:49.391
297659,completed_profile,Pakistan,not_answer,18-20,2022-01-01T10:49:59.503
297660,no_time_commitment,Uzbekistan,man,18-20,2022-01-01T10:50:15.91
297661,no_financial_support,Pakistan,man,26-30,2022-01-01T10:51:01.931
297662,completed_profile,Namibia,man,21-25,2022-01-01T10:52:14.109
297663,high_programming_experience,India,man,26-30,2022-01-01T10:54:06.973
297664,completed_challenges,Somalia,man,18-20,2022-01-01T10:56:16.324
297665,completed_profile,Romania,man,41-45,2022-01-01T10:56:59
297666,completed_profile,Ghana,man,31-35,2022-01-01T10:57:40.232
297667,completed_profile,Brazil,man,41-45,2022-01-01T10:59:05.578
297668,submitted_english_level,Peru,man,41-45,2022-01-01T10:59:50.845
297669,completed_profile,Pakistan,man,21-25,2022-01-01T11:00:22.717
297670,submitted_professional_info,Mexico,man,26-30,2022-01-01T11:00:29.336
297671,completed_profile,South Africa,man,36-40,2022-01-01T11:00:54.93
297672,submitted_equipment,Czech Republic,man,36-40,2022-01-01T11:03:10.731
297673,completed_profile,Norway,woman,46-50,2022-01-01T11:03:12.605
297674,completed_challenges,Pakistan,man,26-30,2022-01-01T11:03:35.741
297675,low_programming_experience,India,man,26-30,2022-01-01T11:05:25.923
297676,submitted_financial_support,Ghana,man,21-25,2022-01-01T11:06:05.924
297677,submitted_programming_experience,Ghana,man,21-25,2022-01-01T11:06:23.358
297678,completed_profile,Botswana,man,21-25,2022-01-01T11:06:32.698
297679,completed_profile,Pakistan,man,21-25,2022-01-01T11:06:41.059
297680,completed_profile,India,man,21-25,2022-01-01T11:07:02.402
297681,completed_challenges,Mongolia,man,18-20,2022-01-01T11:07:10.21
297682,completed_challenges,Somalia,man,21-25,2022-01-01T11:08:04.96
297683,completed_profile,Pakistan,man,18-20,2022-01-01T11:08:13.096
297684,completed_profile,India,man,21-25,2022-01-01T11:08:42.788
297685,submitted_equipment,Belgium,man,26-30,2022-01-01T11:08:54.893
297686,signed_up,,,,2022-01-01T11:10:09.88
297687,submitted_professional_info,South Africa,man,31-35,2022-01-01T11:10:30.218
297688,unlocked_challenges,Tanzania,man,26-30,2022-01-01T11:10:54.862
297689,no_financial_support,Brazil,man,over_50,2022-01-01T11:11:43.431
297690,completed_profile,Benin,man,26-30,2022-01-01T11:12:53.623
297691,submitted_equipment,Estonia,man,21-25,2022-01-01T11:13:16.339
297692,completed_profile,Ghana,man,18-20,2022-01-01T11:15:31.659
297693,signed_up,,,,2022-01-01T11:15:36.305
297694,submitted_program_schedule,Pakistan,man,26-30,2022-01-01T11:16:00.663
297695,completed_profile,Ghana,man,21-25,2022-01-01T11:17:45.821
297696,completed_profile,Pakistan,woman,21-25,2022-01-01T11:18:36.944
297697,completed_profile,Pakistan,man,21-25,2022-01-01T11:18:45.87
297698,no_financial_support,Pakistan,man,21-25,2022-01-01T11:19:28.43
297699,completed_profile,Italy,man,26-30,2022-01-01T11:20:48.854
297700,completed_profile,Ghana,man,36-40,2022-01-01T11:23:42.372
